Movie_Title,Genre,Year,Budget_Million,Box_Office_Million,IMDb_Rating,Director,Main_Actor,Runtime_Minutes
Movie 52,Sci-Fi,2002,205,164,7.7,Christopher Nolan,Brad Pitt,165
Movie 53,Documentary,2018,132,985,4.1,Martin Scorsese,Scarlett Johansson,161
Movie 54,Horror,1992,61,799,8.7,Sofia Coppola,Tom Hanks,114
Movie 55,Documentary,1988,77,637,3.6,Sofia Coppola,Meryl Streep,150
Movie 56,Comedy,1992,30,562,3.5,Quentin Tarantino,Tom Hanks,80
Movie 57,Action,1986,95,93,8.5,Greta Gerwig,Tom Hanks,146
Movie 58,Drama,1999,219,373,8.6,Greta Gerwig,Emma Stone,93
Movie 59,Drama,1994,286,598,3.7,Sofia Coppola,Emma Stone,142
Movie 60,Romance,2016,20,14,5.0,Steven Spielberg,Natalie Portman,89
Movie 61,Thriller,2020,166,603,9.3,Martin Scorsese,Natalie Portman,93
Movie 62,Horror,1981,79,234,7.7,Greta Gerwig,Meryl Streep,169
Movie 63,Sci-Fi,2002,255,570,5.4,Jordan Peele,Denzel Washington,170
Movie 64,Animation,2002,141,116,6.3,Denis Villeneuve,Scarlett Johansson,114
Movie 65,Documentary,1985,276,117,6.6,Quentin Tarantino,Robert Downey Jr.,169
Movie 66,Documentary,1985,50,342,6.5,Christopher Nolan,Christian Bale,75
Movie 67,Sci-Fi,2008,160,418,8.7,Quentin Tarantino,Leonardo DiCaprio,133
Movie 68,Romance,2016,164,547,4.9,Martin Scorsese,Emma Stone,127
Movie 69,Documentary,2014,262,731,5.5,Wes Anderson,Robert Downey Jr.,81
Movie 70,Drama,1987,50,159,7.0,Denis Villeneuve,Robert Downey Jr.,174
Movie 71,Documentary,1987,114,892,6.4,Christopher Nolan,Tom Hanks,96
Movie 72,Documentary,2008,95,788,7.1,Greta Gerwig,Tom Hanks,146
Movie 73,Animation,2009,264,891,3.7,Quentin Tarantino,Leonardo DiCaprio,147
Movie 74,Thriller,1990,228,655,8.4,Sofia Coppola,Emma Stone,110
Movie 75,Thriller,2018,56,607,3.7,Denis Villeneuve,Tom Hanks,88
Movie 76,Sci-Fi,1989,280,41,8.2,James Cameron,Robert Downey Jr.,153
Movie 77,Documentary,2004,139,464,7.5,Quentin Tarantino,Christian Bale,113
Movie 78,Sci-Fi,1995,135,995,7.8,Christopher Nolan,Robert Downey Jr.,104
Movie 79,Sci-Fi,1988,123,957,6.6,Sofia Coppola,Scarlett Johansson,111
Movie 80,Action,2022,149,678,3.9,James Cameron,Leonardo DiCaprio,101
Movie 81,Animation,2017,52,957,4.2,Denis Villeneuve,Denzel Washington,178
Movie 82,Documentary,1995,253,219,6.4,Steven Spielberg,Leonardo DiCaprio,131
Movie 83,Drama,2008,296,642,7.2,Sofia Coppola,Robert Downey Jr.,173
Movie 84,Action,2004,153,180,7.4,Steven Spielberg,Christian Bale,139
Movie 85,Documentary,1990,183,128,3.5,Denis Villeneuve,Tom Hanks,82
Movie 86,Horror,1987,118,541,8.1,Sofia Coppola,Christian Bale,90
Movie 87,Romance,2005,236,872,8.2,Jordan Peele,Denzel Washington,120
Movie 88,Comedy,1982,193,829,4.4,Jordan Peele,Scarlett Johansson,141
Movie 89,Action,1987,203,748,4.1,Wes Anderson,Natalie Portman,99
Movie 90,Thriller,2015,181,586,6.3,Greta Gerwig,Brad Pitt,170
Movie 91,Sci-Fi,1982,117,373,4.9,Sofia Coppola,Denzel Washington,148
Movie 92,Drama,1984,209,15,4.8,Jordan Peele,Natalie Portman,159
Movie 93,Romance,1990,83,46,7.0,Quentin Tarantino,Natalie Portman,80
Movie 94,Comedy,1985,279,52,7.0,Quentin Tarantino,Leonardo DiCaprio,124
Movie 95,Action,1999,127,841,7.1,Steven Spielberg,Natalie Portman,104
Movie 96,Thriller,1986,215,8,3.6,Martin Scorsese,Emma Stone,169
Movie 97,Sci-Fi,1998,159,658,7.8,Jordan Peele,Christian Bale,90
Movie 98,Horror,2015,223,770,4.4,Jordan Peele,Meryl Streep,156
Movie 99,Animation,1994,72,992,8.7,Quentin Tarantino,Denzel Washington,105
Movie 100,Sci-Fi,2008,298,74,8.2,Wes Anderson,Brad Pitt,164
Movie 101,Animation,2004,56,804,7.4,Wes Anderson,Leonardo DiCaprio,124
Movie 102,Action,1981,205,63,6.5,Quentin Tarantino,Robert Downey Jr.,148
Movie 103,Action,1985,98,579,9.2,Denis Villeneuve,Tom Hanks,133
Movie 104,Action,2018,157,471,9.2,Jordan Peele,Robert Downey Jr.,104
Movie 105,Comedy,2002,80,636,6.0,James Cameron,Denzel Washington,114
Movie 106,Romance,2019,46,804,7.6,Jordan Peele,Denzel Washington,139
Movie 107,Thriller,1999,235,150,4.2,Steven Spielberg,Christian Bale,145
Movie 108,Thriller,1985,289,328,6.3,Denis Villeneuve,Scarlett Johansson,114
Movie 109,Animation,1984,255,76,3.9,Sofia Coppola,Christian Bale,150
Movie 110,Documentary,1989,258,581,8.0,Sofia Coppola,Denzel Washington,149
Movie 111,Animation,2008,246,783,8.6,Jordan Peele,Natalie Portman,134
Movie 112,Comedy,1999,240,815,5.5,Steven Spielberg,Denzel Washington,119
Movie 113,Thriller,2015,167,107,6.8,Christopher Nolan,Christian Bale,91
Movie 114,Sci-Fi,2004,211,402,5.1,Christopher Nolan,Denzel Washington,160
Movie 115,Drama,2008,98,9,6.1,Denis Villeneuve,Emma Stone,83
Movie 116,Horror,1998,43,172,4.6,Quentin Tarantino,Natalie Portman,95
Movie 117,Thriller,1981,105,742,8.5,Steven Spielberg,Meryl Streep,170
Movie 118,Sci-Fi,1980,247,756,4.1,Martin Scorsese,Scarlett Johansson,149
Movie 119,Romance,2020,143,205,7.1,James Cameron,Emma Stone,169
Movie 120,Action,2007,226,184,8.7,Quentin Tarantino,Brad Pitt,133
Movie 121,Horror,2012,239,45,3.5,Steven Spielberg,Brad Pitt,98
Movie 122,Comedy,2007,46,70,4.1,Jordan Peele,Natalie Portman,92
Movie 123,Drama,2001,166,476,4.1,Quentin Tarantino,Natalie Portman,152
Movie 124,Horror,2007,98,537,3.9,James Cameron,Scarlett Johansson,114
Movie 125,Drama,1995,19,830,6.4,Greta Gerwig,Meryl Streep,103
Movie 126,Documentary,2015,5,157,5.4,James Cameron,Leonardo DiCaprio,179
Movie 127,Horror,1997,220,680,4.1,Steven Spielberg,Emma Stone,98
Movie 128,Drama,2021,32,776,4.9,Greta Gerwig,Brad Pitt,172
Movie 129,Action,2002,94,188,5.6,Jordan Peele,Emma Stone,94
Movie 130,Documentary,2023,253,169,5.9,Martin Scorsese,Leonardo DiCaprio,84
Movie 131,Drama,2011,274,506,3.9,James Cameron,Natalie Portman,159
Movie 132,Documentary,1989,43,458,8.3,Martin Scorsese,Christian Bale,95
Movie 133,Animation,2015,110,325,7.9,Christopher Nolan,Tom Hanks,170
Movie 134,Documentary,2023,283,686,6.4,Sofia Coppola,Meryl Streep,101
Movie 135,Action,2019,279,521,4.2,Martin Scorsese,Emma Stone,82
Movie 136,Romance,1992,33,239,5.3,Wes Anderson,Tom Hanks,119
Movie 137,Comedy,1986,289,560,4.4,Denis Villeneuve,Christian Bale,90
Movie 138,Comedy,2008,285,201,7.1,Denis Villeneuve,Natalie Portman,171
Movie 139,Thriller,2002,38,938,4.1,Denis Villeneuve,Leonardo DiCaprio,76
Movie 140,Drama,1990,75,825,7.3,Sofia Coppola,Christian Bale,129
Movie 141,Romance,1994,118,925,7.8,Steven Spielberg,Scarlett Johansson,100
Movie 142,Documentary,2017,25,526,4.5,Jordan Peele,Leonardo DiCaprio,161
Movie 143,Comedy,1982,78,637,7.1,James Cameron,Denzel Washington,84
Movie 144,Action,1996,80,898,5.6,Jordan Peele,Natalie Portman,154
Movie 145,Animation,1992,238,682,7.2,Jordan Peele,Scarlett Johansson,109
Movie 146,Animation,2009,243,289,4.7,Sofia Coppola,Leonardo DiCaprio,77
Movie 147,Sci-Fi,2013,170,992,6.8,Greta Gerwig,Denzel Washington,177
Movie 148,Drama,2019,298,590,6.3,Jordan Peele,Brad Pitt,105
Movie 149,Horror,1993,156,34,9.4,Sofia Coppola,Christian Bale,92
Movie 150,Romance,1999,187,60,4.5,Wes Anderson,Brad Pitt,116
Movie 151,Thriller,1988,68,621,3.6,Sofia Coppola,Tom Hanks,123
Movie 152,Documentary,1998,216,391,4.2,Jordan Peele,Brad Pitt,161
Movie 153,Romance,2007,94,536,7.0,Greta Gerwig,Brad Pitt,94
Movie 154,Action,2018,194,282,5.3,James Cameron,Scarlett Johansson,87
Movie 155,Sci-Fi,1992,53,894,9.5,Denis Villeneuve,Brad Pitt,113
Movie 156,Documentary,2014,160,180,6.1,Steven Spielberg,Natalie Portman,106
Movie 157,Action,2004,28,674,6.3,Wes Anderson,Brad Pitt,179
Movie 158,Thriller,2001,81,140,8.6,Christopher Nolan,Leonardo DiCaprio,159
Movie 159,Documentary,1985,272,817,6.5,Sofia Coppola,Robert Downey Jr.,105
Movie 160,Thriller,1980,242,779,7.3,Christopher Nolan,Robert Downey Jr.,112
Movie 161,Documentary,2021,283,767,8.6,Jordan Peele,Robert Downey Jr.,138
Movie 162,Action,2000,70,274,5.0,Martin Scorsese,Scarlett Johansson,170
Movie 163,Horror,2014,10,250,6.9,Greta Gerwig,Meryl Streep,93
Movie 164,Horror,2009,223,964,4.2,Martin Scorsese,Meryl Streep,126
Movie 165,Sci-Fi,2011,106,625,8.3,Martin Scorsese,Emma Stone,118
Movie 166,Drama,2006,252,479,7.4,James Cameron,Robert Downey Jr.,83
Movie 167,Animation,1984,182,602,6.3,Denis Villeneuve,Scarlett Johansson,77
Movie 168,Romance,2008,200,914,6.9,Denis Villeneuve,Meryl Streep,163
Movie 169,Documentary,1996,6,708,8.5,Christopher Nolan,Leonardo DiCaprio,92
Movie 170,Comedy,2013,202,171,6.3,Denis Villeneuve,Scarlett Johansson,133
Movie 171,Horror,2008,283,860,8.7,Wes Anderson,Christian Bale,78
Movie 172,Documentary,1999,21,233,4.0,Jordan Peele,Meryl Streep,119
Movie 173,Action,1989,238,360,8.4,Wes Anderson,Tom Hanks,144
Movie 174,Action,1987,126,839,7.9,Wes Anderson,Meryl Streep,79
Movie 175,Drama,2016,35,815,7.5,Greta Gerwig,Meryl Streep,142
Movie 176,Action,2015,283,131,4.8,James Cameron,Emma Stone,80
Movie 177,Sci-Fi,1995,112,174,8.8,Quentin Tarantino,Natalie Portman,158
Movie 178,Sci-Fi,2018,117,123,8.3,Wes Anderson,Brad Pitt,159
Movie 179,Comedy,2018,141,852,5.2,Martin Scorsese,Emma Stone,127
Movie 180,Romance,1990,66,149,6.6,Sofia Coppola,Christian Bale,122
Movie 181,Thriller,2003,158,743,7.7,Quentin Tarantino,Christian Bale,173
Movie 182,Sci-Fi,2014,95,560,7.5,Martin Scorsese,Leonardo DiCaprio,153
Movie 183,Horror,1991,246,719,4.8,Wes Anderson,Christian Bale,145
Movie 184,Thriller,1980,153,126,6.8,Jordan Peele,Emma Stone,154
Movie 185,Animation,2014,78,831,7.5,James Cameron,Brad Pitt,110
Movie 186,Sci-Fi,1987,43,389,9.3,James Cameron,Scarlett Johansson,179
Movie 187,Action,1991,299,265,6.5,Jordan Peele,Robert Downey Jr.,121
Movie 188,Comedy,1983,159,636,8.0,Greta Gerwig,Meryl Streep,135
Movie 189,Romance,1986,244,283,6.5,Jordan Peele,Brad Pitt,101
Movie 190,Animation,1988,33,390,4.4,Greta Gerwig,Brad Pitt,92
Movie 191,Romance,2000,236,457,9.1,Greta Gerwig,Christian Bale,141
Movie 192,Animation,2010,90,541,8.1,Jordan Peele,Emma Stone,141
Movie 193,Documentary,1995,129,318,5.0,Jordan Peele,Leonardo DiCaprio,145
Movie 194,Horror,2009,116,330,7.5,Martin Scorsese,Emma Stone,75
Movie 195,Thriller,1990,176,28,3.6,Sofia Coppola,Meryl Streep,110
Movie 196,Horror,1994,7,189,5.5,Steven Spielberg,Natalie Portman,110
Movie 197,Documentary,2009,145,568,5.3,James Cameron,Emma Stone,158
Movie 198,Documentary,2003,293,156,7.5,Martin Scorsese,Tom Hanks,107
Movie 199,Drama,2017,171,961,5.0,Sofia Coppola,Leonardo DiCaprio,98
Movie 200,Comedy,2006,244,11,9.2,Denis Villeneuve,Scarlett Johansson,121
Movie 201,Comedy,2009,28,201,9.2,Denis Villeneuve,Brad Pitt,179
Movie 202,Sci-Fi,2001,231,37,8.9,Quentin Tarantino,Christian Bale,160
Movie 203,Action,1991,49,126,5.4,Martin Scorsese,Leonardo DiCaprio,122
Movie 204,Drama,2021,113,569,5.5,James Cameron,Natalie Portman,94
Movie 205,Drama,1993,228,292,7.6,Martin Scorsese,Tom Hanks,122
Movie 206,Thriller,1990,210,30,4.3,Wes Anderson,Tom Hanks,172
Movie 207,Action,2001,214,49,9.4,James Cameron,Scarlett Johansson,90
Movie 208,Horror,1991,11,154,3.9,James Cameron,Emma Stone,106
Movie 209,Action,1988,158,715,5.2,Martin Scorsese,Robert Downey Jr.,108
Movie 210,Comedy,1984,19,562,9.0,Christopher Nolan,Leonardo DiCaprio,99
Movie 211,Horror,2021,47,828,9.4,James Cameron,Denzel Washington,144
Movie 212,Animation,2023,23,186,6.7,Wes Anderson,Tom Hanks,116
Movie 213,Action,2023,294,660,4.1,Quentin Tarantino,Scarlett Johansson,79
Movie 214,Romance,2014,3,426,6.8,Martin Scorsese,Emma Stone,171
Movie 215,Thriller,1986,97,313,8.8,Greta Gerwig,Meryl Streep,95
Movie 216,Romance,1980,210,340,7.6,Martin Scorsese,Emma Stone,125
Movie 217,Action,2012,170,736,4.1,Christopher Nolan,Denzel Washington,110
Movie 218,Comedy,2018,25,137,8.9,James Cameron,Christian Bale,119
Movie 219,Thriller,2023,61,423,5.2,Wes Anderson,Brad Pitt,117
Movie 220,Thriller,2005,149,153,7.8,Steven Spielberg,Scarlett Johansson,175
Movie 221,Comedy,1996,26,263,7.0,Steven Spielberg,Denzel Washington,140
Movie 222,Sci-Fi,2020,135,834,8.4,Martin Scorsese,Robert Downey Jr.,122
Movie 223,Sci-Fi,1999,179,335,8.3,Denis Villeneuve,Natalie Portman,152
Movie 224,Documentary,2003,210,117,8.9,Denis Villeneuve,Meryl Streep,94
Movie 225,Sci-Fi,1982,74,125,5.0,Steven Spielberg,Tom Hanks,125
Movie 226,Horror,2010,13,232,4.5,Wes Anderson,Leonardo DiCaprio,102
Movie 227,Romance,1988,241,114,8.2,James Cameron,Denzel Washington,75
Movie 228,Comedy,2023,15,325,5.0,Denis Villeneuve,Leonardo DiCaprio,170
Movie 229,Action,1991,96,196,6.5,Jordan Peele,Leonardo DiCaprio,116
Movie 230,Animation,2022,254,925,9.5,Christopher Nolan,Scarlett Johansson,147
Movie 231,Documentary,2002,7,405,5.1,Jordan Peele,Leonardo DiCaprio,77
Movie 232,Drama,2020,207,959,6.6,Christopher Nolan,Natalie Portman,108
Movie 233,Drama,1987,24,533,4.9,Wes Anderson,Brad Pitt,170
Movie 234,Drama,2007,35,390,5.2,James Cameron,Leonardo DiCaprio,154
Movie 235,Comedy,2021,108,294,6.4,Sofia Coppola,Christian Bale,83
Movie 236,Romance,1985,79,351,7.4,Christopher Nolan,Meryl Streep,137
Movie 237,Drama,2021,97,999,8.7,Wes Anderson,Natalie Portman,101
Movie 238,Comedy,2019,269,237,5.9,Quentin Tarantino,Meryl Streep,83
Movie 239,Romance,2005,112,121,6.6,Steven Spielberg,Denzel Washington,83
Movie 240,Romance,2002,65,319,9.4,Martin Scorsese,Natalie Portman,100
Movie 241,Horror,1984,118,852,9.4,Christopher Nolan,Robert Downey Jr.,134
Movie 242,Animation,2005,292,927,7.5,Jordan Peele,Meryl Streep,83
Movie 243,Sci-Fi,1998,120,983,7.2,Sofia Coppola,Robert Downey Jr.,75
Movie 244,Thriller,1989,57,835,6.8,Quentin Tarantino,Scarlett Johansson,120
Movie 245,Thriller,2017,214,590,4.5,Steven Spielberg,Robert Downey Jr.,177
Movie 246,Animation,1982,111,890,4.4,Greta Gerwig,Scarlett Johansson,177
Movie 247,Sci-Fi,2019,131,899,6.6,Jordan Peele,Brad Pitt,113
Movie 248,Animation,2023,187,655,4.6,Martin Scorsese,Scarlett Johansson,100
Movie 249,Action,2006,92,742,8.0,Greta Gerwig,Denzel Washington,123
Movie 250,Horror,2007,259,176,3.5,Steven Spielberg,Denzel Washington,104
Movie 251,Documentary,1981,169,150,6.3,Christopher Nolan,Scarlett Johansson,179
Movie 252,Horror,2019,109,647,4.5,Wes Anderson,Brad Pitt,98
Movie 253,Sci-Fi,2012,213,890,6.8,Martin Scorsese,Leonardo DiCaprio,177
Movie 254,Animation,1995,100,254,8.6,Steven Spielberg,Brad Pitt,85
Movie 255,Romance,2020,14,960,5.7,Quentin Tarantino,Denzel Washington,115
Movie 256,Romance,2014,297,307,6.3,Jordan Peele,Brad Pitt,148
Movie 257,Action,1994,150,584,5.4,Sofia Coppola,Denzel Washington,130
Movie 258,Documentary,2009,224,610,6.3,Wes Anderson,Scarlett Johansson,157
Movie 259,Romance,2019,282,468,9.0,James Cameron,Emma Stone,109
Movie 260,Animation,1997,170,186,4.7,Greta Gerwig,Brad Pitt,149
Movie 261,Sci-Fi,2007,290,942,6.7,Jordan Peele,Tom Hanks,166
Movie 262,Comedy,1991,231,83,6.8,James Cameron,Emma Stone,162
Movie 263,Horror,1984,211,404,3.8,Quentin Tarantino,Meryl Streep,124
Movie 264,Comedy,2023,125,230,7.3,Jordan Peele,Tom Hanks,97
Movie 265,Documentary,1986,224,933,3.7,Quentin Tarantino,Christian Bale,126
Movie 266,Sci-Fi,2019,87,390,9.1,Denis Villeneuve,Leonardo DiCaprio,151
Movie 267,Documentary,1985,30,275,3.7,James Cameron,Christian Bale,82
Movie 268,Thriller,2006,9,171,5.9,Martin Scorsese,Denzel Washington,102
Movie 269,Sci-Fi,2022,279,603,8.1,James Cameron,Natalie Portman,153
Movie 270,Sci-Fi,1989,114,865,9.4,Sofia Coppola,Scarlett Johansson,85
Movie 271,Horror,2014,115,105,7.5,Jordan Peele,Brad Pitt,86
Movie 272,Horror,1981,193,38,7.9,Quentin Tarantino,Brad Pitt,129
Movie 273,Sci-Fi,2014,99,941,7.4,Martin Scorsese,Natalie Portman,144
Movie 274,Action,2019,269,379,6.1,Jordan Peele,Meryl Streep,108
Movie 275,Horror,2008,3,139,8.9,Quentin Tarantino,Scarlett Johansson,93
Movie 276,Thriller,1980,243,760,8.8,Jordan Peele,Tom Hanks,152
Movie 277,Romance,1986,35,770,8.6,James Cameron,Tom Hanks,147
Movie 278,Drama,2011,152,224,4.0,Greta Gerwig,Christian Bale,176
Movie 279,Action,1990,115,543,3.8,Wes Anderson,Meryl Streep,77
Movie 280,Thriller,2012,187,705,9.2,Steven Spielberg,Meryl Streep,138
Movie 281,Drama,2018,89,904,8.4,Martin Scorsese,Emma Stone,166
Movie 282,Comedy,1988,107,297,8.3,Greta Gerwig,Scarlett Johansson,129
Movie 283,Sci-Fi,2009,163,47,8.6,Sofia Coppola,Emma Stone,102
Movie 284,Drama,1996,73,585,8.8,Martin Scorsese,Leonardo DiCaprio,83
Movie 285,Documentary,1992,163,110,8.5,Jordan Peele,Emma Stone,133
Movie 286,Animation,1996,188,899,4.1,Sofia Coppola,Denzel Washington,111
Movie 287,Sci-Fi,2013,66,405,9.5,Wes Anderson,Denzel Washington,106
Movie 288,Sci-Fi,1995,263,113,5.0,Sofia Coppola,Emma Stone,109
Movie 289,Animation,2020,50,298,6.3,Steven Spielberg,Tom Hanks,153
Movie 290,Sci-Fi,1985,259,327,7.9,Quentin Tarantino,Robert Downey Jr.,124
Movie 291,Documentary,2004,168,114,6.4,Greta Gerwig,Denzel Washington,161
Movie 292,Animation,1997,82,220,8.4,Christopher Nolan,Tom Hanks,82
Movie 293,Thriller,2019,102,989,6.5,Christopher Nolan,Christian Bale,149
Movie 294,Action,2004,148,711,5.9,Jordan Peele,Brad Pitt,127
Movie 295,Documentary,1993,150,181,4.8,Greta Gerwig,Natalie Portman,102
Movie 296,Sci-Fi,2023,254,850,9.4,Martin Scorsese,Emma Stone,149
Movie 297,Action,1993,226,356,8.2,Steven Spielberg,Natalie Portman,81
Movie 298,Sci-Fi,1999,62,844,8.6,Wes Anderson,Robert Downey Jr.,116
Movie 299,Romance,2022,173,661,7.5,Wes Anderson,Robert Downey Jr.,106
Movie 300,Romance,2003,79,228,8.2,Martin Scorsese,Natalie Portman,122
Movie 301,Romance,2012,294,702,6.0,Denis Villeneuve,Brad Pitt,84
Movie 302,Horror,2000,194,517,6.4,Greta Gerwig,Christian Bale,155
Movie 303,Drama,1981,105,984,3.6,James Cameron,Leonardo DiCaprio,143
Movie 304,Horror,1985,27,51,8.8,Sofia Coppola,Brad Pitt,96
Movie 305,Comedy,2005,95,109,7.0,James Cameron,Natalie Portman,132
Movie 306,Romance,2008,260,153,6.0,Jordan Peele,Tom Hanks,114
Movie 307,Romance,2021,265,856,9.4,Quentin Tarantino,Robert Downey Jr.,137
Movie 308,Comedy,2015,212,551,6.1,Steven Spielberg,Denzel Washington,155
Movie 309,Documentary,2003,219,861,8.1,James Cameron,Meryl Streep,138
Movie 310,Documentary,2015,190,735,3.5,Christopher Nolan,Denzel Washington,82
Movie 311,Horror,1987,186,836,8.1,Sofia Coppola,Tom Hanks,168
Movie 312,Thriller,1986,88,410,8.2,Christopher Nolan,Emma Stone,102
Movie 313,Drama,2011,7,707,4.2,Sofia Coppola,Denzel Washington,77
Movie 314,Action,2002,168,598,5.2,Sofia Coppola,Brad Pitt,154
Movie 315,Romance,2004,273,231,6.5,Denis Villeneuve,Brad Pitt,133
Movie 316,Sci-Fi,1995,80,154,8.8,Quentin Tarantino,Natalie Portman,117
Movie 317,Thriller,1992,224,823,7.6,Christopher Nolan,Brad Pitt,134
Movie 318,Thriller,1995,17,403,4.9,Wes Anderson,Tom Hanks,128
Movie 319,Comedy,2000,271,270,4.1,Jordan Peele,Meryl Streep,161
Movie 320,Animation,1997,228,263,4.5,Denis Villeneuve,Christian Bale,122
Movie 321,Animation,2022,264,261,3.6,Wes Anderson,Denzel Washington,102
Movie 322,Drama,2002,234,116,4.6,Wes Anderson,Tom Hanks,170
Movie 323,Animation,2008,98,928,5.3,Steven Spielberg,Denzel Washington,164
Movie 324,Drama,1998,20,662,7.3,Christopher Nolan,Natalie Portman,143
Movie 325,Comedy,2001,230,662,7.9,Sofia Coppola,Robert Downey Jr.,104
Movie 326,Romance,2017,130,80,6.9,Steven Spielberg,Meryl Streep,138
Movie 327,Sci-Fi,2009,273,409,8.6,Greta Gerwig,Brad Pitt,174
Movie 328,Animation,1988,107,618,6.3,Quentin Tarantino,Leonardo DiCaprio,113
Movie 329,Sci-Fi,2020,298,755,4.0,Greta Gerwig,Scarlett Johansson,115
Movie 330,Horror,2016,154,252,6.3,Greta Gerwig,Tom Hanks,110
Movie 331,Thriller,1988,287,254,5.2,Steven Spielberg,Christian Bale,75
Movie 332,Drama,2007,70,494,8.9,Denis Villeneuve,Scarlett Johansson,111
Movie 333,Thriller,1987,273,266,6.8,Greta Gerwig,Natalie Portman,159
Movie 334,Action,2010,2,11,7.9,Martin Scorsese,Christian Bale,105
Movie 335,Horror,1989,53,617,8.9,Quentin Tarantino,Natalie Portman,105
Movie 336,Sci-Fi,2018,78,153,8.9,James Cameron,Brad Pitt,78
Movie 337,Comedy,2016,142,724,8.7,Quentin Tarantino,Leonardo DiCaprio,99
Movie 338,Thriller,1991,4,136,4.3,Quentin Tarantino,Denzel Washington,104
